dataset;num resultado;mmre;pred;tempo
Abran and Robillard;1;0.20651811819853416;0.6666666666666666;2714ms
Abran and Robillard;2;0.2030478132541218;0.6190476190476191;519ms
Abran and Robillard;3;0.19815782252537342;0.6190476190476191;1420ms
Abran and Robillard;4;0.20541165628688823;0.6666666666666666;363ms
Abran and Robillard;5;0.20831809894368436;0.6666666666666666;386ms
Abran and Robillard;6;0.20445587862865658;0.5714285714285714;272ms
Abran and Robillard;7;0.20195660794172804;0.6190476190476191;518ms
Abran and Robillard;8;0.202299270585488;0.6666666666666666;1059ms
Abran and Robillard;9;0.20460633138451667;0.5714285714285714;287ms
Abran and Robillard;10;0.20334246742124545;0.6666666666666666;367ms
Abran and Robillard;11;0.20140419282079586;0.6190476190476191;434ms
Abran and Robillard;12;0.2022460852617917;0.6190476190476191;1208ms
Abran and Robillard;13;0.20424911743495305;0.6190476190476191;726ms
Abran and Robillard;14;0.20728062503138722;0.6666666666666666;258ms
Abran and Robillard;15;0.2087764326326659;0.6190476190476191;1022ms
Abran and Robillard;16;0.20675155195728442;0.6666666666666666;304ms
Abran and Robillard;17;0.1807749809444198;0.6190476190476191;2183ms
Abran and Robillard;18;0.20424888289980248;0.6666666666666666;379ms
Abran and Robillard;19;0.20263164083800142;0.6190476190476191;206ms
Abran and Robillard;20;0.20455532131797746;0.6190476190476191;258ms
Abran and Robillard;21;0.20579106638959252;0.6190476190476191;228ms
Abran and Robillard;22;0.20708602569788997;0.6666666666666666;1090ms
Abran and Robillard;23;0.20240596758431634;0.6190476190476191;196ms
Abran and Robillard;24;0.20278934870480939;0.6190476190476191;206ms
Abran and Robillard;25;0.2034721917422009;0.6190476190476191;886ms
Abran and Robillard;26;0.2010338700762143;0.6190476190476191;927ms
Abran and Robillard;27;0.20291736875495156;0.6666666666666666;370ms
Abran and Robillard;28;0.2067575002523972;0.6666666666666666;209ms
Abran and Robillard;29;0.20149261317522965;0.6190476190476191;945ms
Abran and Robillard;30;0.2059825689744453;0.5714285714285714;374ms
Albrecht and Gaffney;1;0.4358282581660979;0.34782608695652173;891ms
Albrecht and Gaffney;2;0.5809178042934726;0.2608695652173913;820ms
Albrecht and Gaffney;3;0.4562751693449783;0.391304347826087;323ms
Albrecht and Gaffney;4;0.6484170039905371;0.043478260869565216;383ms
Albrecht and Gaffney;5;0.5940934066978303;0.30434782608695654;1757ms
Albrecht and Gaffney;6;0.482367100627315;0.2608695652173913;380ms
Albrecht and Gaffney;7;0.8029707148068369;0.043478260869565216;848ms
Albrecht and Gaffney;8;0.5727269076466929;0.08695652173913043;573ms
Albrecht and Gaffney;9;0.48372063510518143;0.4782608695652174;377ms
Albrecht and Gaffney;10;0.5488855599160871;0.13043478260869565;315ms
Albrecht and Gaffney;11;0.46290721040098487;0.30434782608695654;1170ms
Albrecht and Gaffney;12;0.5919244874487943;0.2608695652173913;664ms
Albrecht and Gaffney;13;0.4543471231809374;0.34782608695652173;482ms
Albrecht and Gaffney;14;0.49203745183281944;0.2608695652173913;466ms
Albrecht and Gaffney;15;0.46533742572442266;0.30434782608695654;1078ms
Albrecht and Gaffney;16;0.528158532493464;0.17391304347826086;882ms
Albrecht and Gaffney;17;0.5348097794237711;0.21739130434782608;469ms
Albrecht and Gaffney;18;0.4874761978903729;0.17391304347826086;309ms
Albrecht and Gaffney;19;0.4518532689136663;0.34782608695652173;1041ms
Albrecht and Gaffney;20;0.4814847877699822;0.2608695652173913;303ms
Albrecht and Gaffney;21;0.5537751604797625;0.391304347826087;1043ms
Albrecht and Gaffney;22;0.4855383289223538;0.2608695652173913;544ms
Albrecht and Gaffney;23;0.5941651845834334;0.30434782608695654;253ms
Albrecht and Gaffney;24;0.45276054550142797;0.34782608695652173;485ms
Albrecht and Gaffney;25;0.452246100688081;0.391304347826087;1073ms
Albrecht and Gaffney;26;0.5421731746342227;0.391304347826087;346ms
Albrecht and Gaffney;27;0.5142701092941263;0.34782608695652173;281ms
Albrecht and Gaffney;28;0.48441799950274167;0.2608695652173913;486ms
Albrecht and Gaffney;29;0.45220093600565764;0.391304347826087;1294ms
Albrecht and Gaffney;30;0.44303213919196355;0.34782608695652173;1169ms
Bailey and Basili;1;0.26264331372191757;0.6111111111111112;229ms
Bailey and Basili;2;0.2634952276430922;0.6111111111111112;136ms
Bailey and Basili;3;0.2625773987339907;0.6111111111111112;188ms
Bailey and Basili;4;0.23201960288533582;0.7222222222222222;883ms
Bailey and Basili;5;0.26093502824543324;0.6111111111111112;339ms
Bailey and Basili;6;0.24787308119748555;0.6111111111111112;1160ms
Bailey and Basili;7;0.2603627613733726;0.6111111111111112;407ms
Bailey and Basili;8;0.23092436406771696;0.6666666666666666;1300ms
Bailey and Basili;9;0.2628146022595486;0.6111111111111112;129ms
Bailey and Basili;10;0.26264331372191757;0.6111111111111112;177ms
Bailey and Basili;11;0.2628146022595486;0.6111111111111112;118ms
Bailey and Basili;12;0.2634952276430922;0.6111111111111112;110ms
Bailey and Basili;13;0.2624041954220732;0.6666666666666666;792ms
Bailey and Basili;14;0.25379213063627865;0.6666666666666666;370ms
Bailey and Basili;15;0.2430376357408612;0.6111111111111112;844ms
Bailey and Basili;16;0.2629458138923814;0.6111111111111112;200ms
Bailey and Basili;17;0.24543319692431245;0.7222222222222222;816ms
Bailey and Basili;18;0.2631812769284003;0.6111111111111112;169ms
Bailey and Basili;19;0.23911429548969293;0.7222222222222222;345ms
Bailey and Basili;20;0.2548748117789048;0.6111111111111112;627ms
Bailey and Basili;21;0.2608550074773274;0.6666666666666666;401ms
Bailey and Basili;22;0.26264331372191757;0.6111111111111112;155ms
Bailey and Basili;23;0.23898429286819362;0.6111111111111112;829ms
Bailey and Basili;24;0.2539526797499633;0.5555555555555556;895ms
Bailey and Basili;25;0.26087995623508353;0.6666666666666666;356ms
Bailey and Basili;26;0.2624258765660334;0.6111111111111112;220ms
Bailey and Basili;27;0.2522876652469899;0.6666666666666666;1437ms
Bailey and Basili;28;0.26201016251512343;0.5555555555555556;214ms
Bailey and Basili;29;0.2531051075832738;0.6111111111111112;857ms
Bailey and Basili;30;0.2625381843354025;0.6111111111111112;162ms
Belady and Lehman;1;0.45981894842060744;0.24242424242424243;1515ms
Belady and Lehman;2;0.4580967260103207;0.21212121212121213;1450ms
Belady and Lehman;3;0.4510801510633791;0.2727272727272727;940ms
Belady and Lehman;4;0.7556142533224676;0.24242424242424243;1351ms
Belady and Lehman;5;0.44983212838902675;0.2727272727272727;1284ms
Belady and Lehman;6;0.46785883535710404;0.24242424242424243;1879ms
Belady and Lehman;7;0.4519423293335054;0.2727272727272727;756ms
Belady and Lehman;8;0.4611868426424078;0.2727272727272727;919ms
Belady and Lehman;9;0.45109360824463457;0.2727272727272727;2257ms
Belady and Lehman;10;0.4516484557371155;0.30303030303030304;517ms
Belady and Lehman;11;0.7566650403568702;0.24242424242424243;841ms
Belady and Lehman;12;0.49648819802981775;0.21212121212121213;1098ms
Belady and Lehman;13;0.7367843622709159;0.21212121212121213;2069ms
Belady and Lehman;14;0.45079028544298283;0.2727272727272727;735ms
Belady and Lehman;15;0.4633309728512818;0.18181818181818182;3097ms
Belady and Lehman;16;0.5847389126356369;0.09090909090909091;3824ms
Belady and Lehman;17;0.4599063410967939;0.24242424242424243;1831ms
Belady and Lehman;18;0.4597855123197377;0.24242424242424243;2135ms
Belady and Lehman;19;0.7568393046666199;0.21212121212121213;1704ms
Belady and Lehman;20;0.45343321448516805;0.15151515151515152;642ms
Belady and Lehman;21;0.45240589187136493;0.15151515151515152;652ms
Belady and Lehman;22;0.4511201900612405;0.24242424242424243;947ms
Belady and Lehman;23;0.75634554931339;0.24242424242424243;1247ms
Belady and Lehman;24;0.4516199597189447;0.30303030303030304;1175ms
Belady and Lehman;25;0.4523353681530252;0.24242424242424243;2417ms
Belady and Lehman;26;0.46540630263283184;0.24242424242424243;1093ms
Belady and Lehman;27;0.45173178865815533;0.24242424242424243;925ms
Belady and Lehman;28;0.4515226578639301;0.24242424242424243;588ms
Belady and Lehman;29;0.46669347476531625;0.24242424242424243;2893ms
Belady and Lehman;30;0.4657330855301742;0.24242424242424243;1262ms
Boehm;1;0.6029995554479735;0.1746031746031746;7612ms
Boehm;2;0.6074994185155516;0.15873015873015872;1134ms
Boehm;3;0.6073177516102612;0.15873015873015872;1647ms
Boehm;4;0.7981045720695734;0.047619047619047616;2458ms
Boehm;5;0.6304225419852821;0.12698412698412698;1229ms
Boehm;6;0.6043436581039023;0.1746031746031746;3129ms
Boehm;7;0.5989747566348722;0.20634920634920634;873ms
Boehm;8;0.7984347312343937;0.07936507936507936;1506ms
Boehm;9;0.6003841476789288;0.1746031746031746;1951ms
Boehm;10;0.6082963422368609;0.15873015873015872;549ms
Boehm;11;0.6006301518656668;0.19047619047619047;1812ms
Boehm;12;0.6108119695733694;0.20634920634920634;1945ms
Boehm;13;0.8004413203259091;0.07936507936507936;612ms
Boehm;14;0.5983532381827883;0.19047619047619047;2096ms
Boehm;15;0.608484560635386;0.14285714285714285;2222ms
Boehm;16;0.5985388518068976;0.15873015873015872;3349ms
Boehm;17;0.6046770964383007;0.1746031746031746;881ms
Boehm;18;0.7983236172705745;0.07936507936507936;981ms
Boehm;19;0.6149993460425934;0.19047619047619047;1698ms
Boehm;20;0.8013420164509216;0.07936507936507936;3243ms
Boehm;21;0.6107626172178048;0.12698412698412698;1512ms
Boehm;22;0.5994112166372285;0.19047619047619047;1530ms
Boehm;23;0.6070230706991379;0.14285714285714285;1213ms
Boehm;24;0.5987965524831771;0.1746031746031746;4644ms
Boehm;25;0.6086874046897177;0.1746031746031746;895ms
Boehm;26;0.6060784119529343;0.15873015873015872;1142ms
Boehm;27;0.598007318152829;0.19047619047619047;1889ms
Boehm;28;0.6008351208808095;0.1746031746031746;1121ms
Boehm;29;0.59795038307316;0.19047619047619047;2970ms
Boehm;30;0.5986819427612602;0.19047619047619047;1693ms
Heiat and Heiat;1;0.09558589086292918;0.9428571428571428;1495ms
Heiat and Heiat;2;0.08844777114284393;0.9142857142857143;1486ms
Heiat and Heiat;3;0.09806716300315561;0.9714285714285714;425ms
Heiat and Heiat;4;0.08711755859709988;0.9714285714285714;2796ms
Heiat and Heiat;5;0.0890649998568117;0.9142857142857143;1413ms
Heiat and Heiat;6;0.09254412829573742;0.9428571428571428;1358ms
Heiat and Heiat;7;0.08969554393471706;0.9142857142857143;713ms
Heiat and Heiat;8;0.1018288692897893;0.9714285714285714;1123ms
Heiat and Heiat;9;0.08897041824512589;0.9142857142857143;638ms
Heiat and Heiat;10;0.09204035410351764;0.9142857142857143;1045ms
Heiat and Heiat;11;0.08821070752218307;0.9142857142857143;2169ms
Heiat and Heiat;12;0.08832177760216778;0.9142857142857143;433ms
Heiat and Heiat;13;0.0885940122695718;0.9428571428571428;1722ms
Heiat and Heiat;14;0.09284990476907828;0.9428571428571428;1672ms
Heiat and Heiat;15;0.0891516996675237;0.9142857142857143;512ms
Heiat and Heiat;16;0.09362291722098043;0.9428571428571428;2006ms
Heiat and Heiat;17;0.09350475994176355;0.9142857142857143;250ms
Heiat and Heiat;18;0.10131192989688055;0.9714285714285714;738ms
Heiat and Heiat;19;0.09220002183466587;0.9428571428571428;1640ms
Heiat and Heiat;20;0.08846489826586418;0.9428571428571428;808ms
Heiat and Heiat;21;0.08828273724582571;0.9142857142857143;890ms
Heiat and Heiat;22;0.0937095952866772;0.9714285714285714;3561ms
Heiat and Heiat;23;0.08855523139591726;0.9142857142857143;468ms
Heiat and Heiat;24;0.08900478184792411;0.9428571428571428;4412ms
Heiat and Heiat;25;0.08917982768792933;0.9428571428571428;863ms
Heiat and Heiat;26;0.09141913498044206;0.9428571428571428;1814ms
Heiat and Heiat;27;0.08998593761810657;0.9428571428571428;824ms
Heiat and Heiat;28;0.1044449544622958;0.9428571428571428;1170ms
Heiat and Heiat;29;0.0885087745170425;0.9142857142857143;375ms
Heiat and Heiat;30;0.09275756951209498;0.9428571428571428;568ms
Academic Environment;1;0.36867778728911554;0.375;585ms
Academic Environment;2;0.37516114131539063;0.3333333333333333;1695ms
Academic Environment;3;0.36600139045259344;0.3333333333333333;2195ms
Academic Environment;4;0.36312659731421276;0.3333333333333333;1122ms
Academic Environment;5;0.3580458272821468;0.4375;657ms
Academic Environment;6;0.3617975543703244;0.3541666666666667;736ms
Academic Environment;7;0.38210243702894564;0.3125;2305ms
Academic Environment;8;0.3490410412045588;0.4583333333333333;512ms
Academic Environment;9;0.36197809003232795;0.3958333333333333;2442ms
Academic Environment;10;0.38306853406679303;0.3333333333333333;1184ms
Academic Environment;11;0.36081320302420955;0.3333333333333333;1348ms
Academic Environment;12;0.3728795343986249;0.3333333333333333;1979ms
Academic Environment;13;0.3710851322803956;0.2916666666666667;1197ms
Academic Environment;14;0.35305004400357737;0.4375;3637ms
Academic Environment;15;0.3499876719263049;0.4375;1205ms
Academic Environment;16;0.3580752300432188;0.3958333333333333;2787ms
Academic Environment;17;0.34535364001218954;0.4791666666666667;1813ms
Academic Environment;18;0.35191690541124454;0.4375;836ms
Academic Environment;19;0.3618046164731353;0.3541666666666667;1061ms
Academic Environment;20;0.34695667019892973;0.4166666666666667;974ms
Academic Environment;21;0.34748131927826126;0.4791666666666667;2161ms
Academic Environment;22;0.37691982647720934;0.3541666666666667;747ms
Academic Environment;23;0.3540088859157185;0.4166666666666667;3058ms
Academic Environment;24;0.3759264045174439;0.3333333333333333;1310ms
Academic Environment;25;0.361792825754732;0.3541666666666667;836ms
Academic Environment;26;0.3679503448971817;0.3125;745ms
Academic Environment;27;0.362759153046388;0.3333333333333333;2171ms
Academic Environment;28;0.3703300268384489;0.3333333333333333;1061ms
Academic Environment;29;0.3577094506135874;0.3958333333333333;1069ms
Academic Environment;30;0.3630454033099082;0.4375;3787ms
Kemerer;1;0.39338776645668566;0.3333333333333333;181ms
Kemerer;2;0.3869317481976824;0.3333333333333333;743ms
Kemerer;3;0.39359981484995665;0.3333333333333333;347ms
Kemerer;4;0.39708163958144005;0.4;788ms
Kemerer;5;0.3932633454965046;0.3333333333333333;385ms
Kemerer;6;0.3926557495676844;0.3333333333333333;1073ms
Kemerer;7;0.3926691600126774;0.3333333333333333;217ms
Kemerer;8;0.39700290475646843;0.4;1975ms
Kemerer;9;0.3848218383245621;0.4;1345ms
Kemerer;10;0.4244484678369825;0.4;378ms
Kemerer;11;0.39351654742773856;0.3333333333333333;130ms
Kemerer;12;0.39394159748195495;0.3333333333333333;396ms
Kemerer;13;0.3926861040444937;0.3333333333333333;1000ms
Kemerer;14;0.39340364660643795;0.3333333333333333;816ms
Kemerer;15;0.39296434324544666;0.3333333333333333;391ms
Kemerer;16;0.39458238710558446;0.3333333333333333;903ms
Kemerer;17;0.393380356802236;0.3333333333333333;181ms
Kemerer;18;0.39478130828454494;0.3333333333333333;397ms
Kemerer;19;0.3917105627201977;0.3333333333333333;353ms
Kemerer;20;0.39274703727455995;0.3333333333333333;491ms
Kemerer;21;0.3933143073853877;0.3333333333333333;438ms
Kemerer;22;0.3972417394853582;0.4;452ms
Kemerer;23;0.39338221116367744;0.3333333333333333;1144ms
Kemerer;24;0.3968651742247831;0.4;1513ms
Kemerer;25;0.3933389074814308;0.3333333333333333;274ms
Kemerer;26;0.3970859175607289;0.4;341ms
Kemerer;27;0.40591678514238316;0.4;466ms
Kemerer;28;0.39328815321105726;0.3333333333333333;193ms
Kemerer;29;0.39330749794235226;0.3333333333333333;346ms
Kemerer;30;0.3928429137227759;0.3333333333333333;460ms
Miyazaki et al.;1;0.35008222259501565;0.44680851063829785;2663ms
Miyazaki et al.;2;0.36045513977356236;0.425531914893617;578ms
Miyazaki et al.;3;0.3601681019154107;0.425531914893617;557ms
Miyazaki et al.;4;0.3536360284188693;0.5106382978723404;620ms
Miyazaki et al.;5;0.35707338566895325;0.425531914893617;543ms
Miyazaki et al.;6;0.3184778235124203;0.5319148936170213;1982ms
Miyazaki et al.;7;0.35717076382907736;0.46808510638297873;413ms
Miyazaki et al.;8;0.3615647623788632;0.46808510638297873;907ms
Miyazaki et al.;9;0.3592149325447823;0.5319148936170213;463ms
Miyazaki et al.;10;0.3599502736059626;0.5319148936170213;989ms
Miyazaki et al.;11;0.3581524424216823;0.48936170212765956;487ms
Miyazaki et al.;12;0.35699295827444505;0.425531914893617;1020ms
Miyazaki et al.;13;0.35565965074486666;0.5106382978723404;413ms
Miyazaki et al.;14;0.35813861860473767;0.5319148936170213;2761ms
Miyazaki et al.;15;0.36503195602890626;0.425531914893617;285ms
Miyazaki et al.;16;0.35431343837189305;0.46808510638297873;1435ms
Miyazaki et al.;17;0.3509158139973072;0.3829787234042553;5542ms
Miyazaki et al.;18;0.35813530159257234;0.46808510638297873;526ms
Miyazaki et al.;19;0.3587941345051712;0.5319148936170213;638ms
Miyazaki et al.;20;0.35615283785262636;0.5106382978723404;751ms
Miyazaki et al.;21;0.3501325816050437;0.425531914893617;3634ms
Miyazaki et al.;22;0.3366276532349743;0.5106382978723404;4359ms
Miyazaki et al.;23;0.3564350481403766;0.46808510638297873;3035ms
Miyazaki et al.;24;0.35224495958550583;0.5106382978723404;752ms
Miyazaki et al.;25;0.36389819521959343;0.44680851063829785;498ms
Miyazaki et al.;26;0.35764290285110784;0.425531914893617;406ms
Miyazaki et al.;27;0.35752064342464107;0.5319148936170213;532ms
Miyazaki et al.;28;0.36120494320342844;0.46808510638297873;959ms
Miyazaki et al.;29;0.3523707849356445;0.44680851063829785;1931ms
Miyazaki et al.;30;0.359753796292121;0.5319148936170213;584ms
Shepperd and Schofield;1;0.4705647674568287;0.4444444444444444;179ms
Shepperd and Schofield;2;0.3841765209614813;0.3888888888888889;808ms
Shepperd and Schofield;3;0.4717364301205296;0.4444444444444444;157ms
Shepperd and Schofield;4;0.45182909309024893;0.3333333333333333;513ms
Shepperd and Schofield;5;0.47127937626065475;0.4444444444444444;177ms
Shepperd and Schofield;6;0.4706047138313805;0.4444444444444444;147ms
Shepperd and Schofield;7;0.37258932854449645;0.3888888888888889;421ms
Shepperd and Schofield;8;0.4500710593545201;0.5;427ms
Shepperd and Schofield;9;0.45442908323133946;0.3888888888888889;885ms
Shepperd and Schofield;10;0.4717571270751757;0.4444444444444444;248ms
Shepperd and Schofield;11;0.46904267155755286;0.4444444444444444;468ms
Shepperd and Schofield;12;0.4672116638994155;0.4444444444444444;517ms
Shepperd and Schofield;13;0.47127937626065475;0.4444444444444444;149ms
Shepperd and Schofield;14;0.44592408538245515;0.5;291ms
Shepperd and Schofield;15;0.4713707870326298;0.4444444444444444;129ms
Shepperd and Schofield;16;0.4711444437747999;0.4444444444444444;134ms
Shepperd and Schofield;17;0.45063241012547767;0.3888888888888889;686ms
Shepperd and Schofield;18;0.4599696902377055;0.5;406ms
Shepperd and Schofield;19;0.4690919478388261;0.4444444444444444;324ms
Shepperd and Schofield;20;0.4426076956273212;0.5;567ms
Shepperd and Schofield;21;0.4464678364355982;0.5;1034ms
Shepperd and Schofield;22;0.46922745701022106;0.3333333333333333;220ms
Shepperd and Schofield;23;0.4696465943054894;0.3333333333333333;179ms
Shepperd and Schofield;24;0.4712895330130965;0.4444444444444444;125ms
Shepperd and Schofield;25;0.4689619763740013;0.3333333333333333;217ms
Shepperd and Schofield;26;0.43492018861818965;0.3888888888888889;448ms
Shepperd and Schofield;27;0.37581939709839424;0.5555555555555556;241ms
Shepperd and Schofield;28;0.46426329958100215;0.4444444444444444;218ms
Shepperd and Schofield;29;0.4695015603384554;0.3333333333333333;209ms
Shepperd and Schofield;30;0.4713707870326298;0.4444444444444444;146ms
Desharnais;1;0.5041556556827059;0.26229508196721313;614ms
Desharnais;2;0.501136835393881;0.3770491803278688;631ms
Desharnais;3;0.4997239057671354;0.4262295081967213;1012ms
Desharnais;4;0.5013907248044112;0.39344262295081966;3247ms
Desharnais;5;0.501336276396202;0.3442622950819672;2797ms
Desharnais;6;0.5010111987816696;0.3114754098360656;2228ms
Desharnais;7;0.4984342540632436;0.39344262295081966;1368ms
Desharnais;8;0.47849572621962755;0.39344262295081966;3281ms
Desharnais;9;0.5015244220758537;0.4098360655737705;10164ms
Desharnais;10;0.5026682719138639;0.3770491803278688;2607ms
Desharnais;11;0.5037330550499654;0.3442622950819672;1681ms
Desharnais;12;0.4874255684649533;0.32786885245901637;6654ms
Desharnais;13;0.49829481183491475;0.4098360655737705;1209ms
Desharnais;14;0.4983820032573024;0.4098360655737705;1494ms
Desharnais;15;0.5007559823396711;0.26229508196721313;2814ms
Desharnais;16;0.5002111147519621;0.32786885245901637;715ms
Desharnais;17;0.5011368532627158;0.3442622950819672;1126ms
Desharnais;18;0.49997490177812765;0.4098360655737705;974ms
Desharnais;19;0.5034825310885724;0.36065573770491804;2562ms
Desharnais;20;0.5008766281879881;0.36065573770491804;676ms
Desharnais;21;0.4991020271336896;0.3442622950819672;3141ms
Desharnais;22;0.4993395979115978;0.4426229508196721;1100ms
Desharnais;23;0.4995910331531161;0.45901639344262296;481ms
Desharnais;24;0.4995924376620359;0.45901639344262296;1105ms
Desharnais;25;0.5038696946449458;0.2459016393442623;1077ms
Desharnais;26;0.49897756411068117;0.36065573770491804;1462ms
Desharnais;27;0.5052119139451291;0.3114754098360656;806ms
Desharnais;28;0.5013051247492916;0.2459016393442623;941ms
Desharnais;29;0.5023911324692039;0.3770491803278688;3658ms
Desharnais;30;0.4992162905244584;0.19672131147540983;863ms
Kitchenham and Taylor;1;0.6354992053138454;0.21212121212121213;2787ms
Kitchenham and Taylor;2;0.632878629462631;0.18181818181818182;513ms
Kitchenham and Taylor;3;0.635010721163926;0.21212121212121213;592ms
Kitchenham and Taylor;4;0.6325327699840757;0.18181818181818182;1134ms
Kitchenham and Taylor;5;0.6326504882066968;0.18181818181818182;506ms
Kitchenham and Taylor;6;0.6329791692493211;0.18181818181818182;4458ms
Kitchenham and Taylor;7;0.6361960822710189;0.21212121212121213;3618ms
Kitchenham and Taylor;8;0.6201718877561897;0.15151515151515152;1340ms
Kitchenham and Taylor;9;0.635823552820841;0.21212121212121213;2540ms
Kitchenham and Taylor;10;0.6335341624347077;0.21212121212121213;2223ms
Kitchenham and Taylor;11;0.6347316358246745;0.18181818181818182;1828ms
Kitchenham and Taylor;12;0.6359819004390457;0.21212121212121213;3844ms
Kitchenham and Taylor;13;0.6326404525256014;0.21212121212121213;1442ms
Kitchenham and Taylor;14;0.6330075815782514;0.21212121212121213;845ms
Kitchenham and Taylor;15;0.6364114734403177;0.21212121212121213;778ms
Kitchenham and Taylor;16;0.6364353354113566;0.21212121212121213;5884ms
Kitchenham and Taylor;17;0.6362822499361629;0.21212121212121213;1161ms
Kitchenham and Taylor;18;0.6346708028449164;0.21212121212121213;595ms
Kitchenham and Taylor;19;0.6297800298627053;0.21212121212121213;570ms
Kitchenham and Taylor;20;0.6363242755574636;0.21212121212121213;685ms
Kitchenham and Taylor;21;0.6272395307234049;0.18181818181818182;1756ms
Kitchenham and Taylor;22;0.6354243374959433;0.18181818181818182;584ms
Kitchenham and Taylor;23;0.6222225275164015;0.18181818181818182;1042ms
Kitchenham and Taylor;24;0.6269791490306621;0.09090909090909091;1211ms
Kitchenham and Taylor;25;0.6166509500308399;0.09090909090909091;3832ms
Kitchenham and Taylor;26;0.6325460785991353;0.21212121212121213;3082ms
Kitchenham and Taylor;27;0.6347508819064706;0.21212121212121213;3191ms
Kitchenham and Taylor;28;0.633401597461137;0.21212121212121213;944ms
Kitchenham and Taylor;29;0.6334873026589293;0.21212121212121213;461ms
Kitchenham and Taylor;30;0.6329710589288029;0.18181818181818182;2153ms
