dataset;mmre
1;0.20598692783297012
1;0.21005825720777271
1;0.20928597039391222
1;0.2047944159500225
1;0.2061512728040737
1;0.20892083971875255
1;0.20762663877422374
1;0.20799272735964852
1;0.2183394604015476
1;0.2187150357182826
1;0.20439603496086622
1;0.20993877227914068
1;0.20042379649791212
1;0.20978071017955513
1;0.20648621392119385
1;0.2013042037606856
1;0.20422806744984778
1;0.20498721522633698
1;0.20517644916887412
1;0.21783223500894358
1;0.20678092430315073
1;0.20114481935011946
1;0.19888932261100503
1;0.20508316603621343
1;0.20347971046051438
1;0.21561695585062962
1;0.2033694665085059
1;0.20326331346088222
1;0.20733864022288473
1;0.20190091322705844
2;0.470643372402378
2;0.45349180114126364
2;0.6071295422182194
2;0.601809164299655
2;0.5290140583135295
2;0.47561063638349665
2;0.5199952239656984
2;0.5478155765703712
2;0.46150624146702546
2;0.47387221553919845
2;0.47448469670458865
2;0.5238038603994287
2;0.5369667216041901
2;0.48055920551889975
2;0.45306381698903764
2;0.44699862289542225
2;0.4478793121523121
2;0.4740835071409202
2;0.5797289241632028
2;0.46403054573025004
2;0.5856733354379954
2;0.5793286135453011
2;0.4565606830174467
2;0.489472793350889
2;0.5899376655074569
2;0.5255090056648991
2;0.4892039488899957
2;0.5422962285174663
2;0.47697370848644577
2;0.4541633433247849
3;0.26088747937629425
3;0.26223598604948106
3;0.26257806094567726
3;0.24849686173507765
3;0.24941522406890038
3;0.24624775878136193
3;0.25908482647347086
3;0.2591996193394613
3;0.2504589262166312
3;0.2419046856801227
3;0.26201016251512343
3;0.262623993602837
3;0.26230026834743275
3;0.26291349543645726
3;0.26201016251512343
3;0.25922840694361765
3;0.25353735547310347
3;0.2628824453974586
3;0.25648369903561025
3;0.26201016251512343
3;0.24834361019394713
3;0.25925861061395084
3;0.2625795380585743
3;0.235675145735373
3;0.2634952276430922
3;0.25955977260915103
3;0.2593205044656617
3;0.25032664718821085
3;0.26112437315136927
3;0.23430046751240458
4;0.45238815685780975
4;0.7416691728700494
4;0.4590165705453731
4;0.7565457584531492
4;0.4588022733967606
4;0.461518776663853
4;0.4519685447732157
4;0.45981894842060744
4;0.7563283295099086
4;0.4647338340289339
4;0.4507700763294922
4;0.7547505947892511
4;0.6013273980549396
4;0.45907818173690856
4;0.45074917339317544
4;0.45270604053812014
4;0.7567974888531669
4;0.45032043883004735
4;0.756895927776808
4;0.4516293326840932
4;0.45263731231958876
4;0.7491914621427148
4;0.4503607715606899
4;0.7549662421342486
4;0.459726142764371
4;0.45420653398736593
4;0.44982103919093797
4;0.6909194795360367
4;0.7543288310069473
4;0.7488678514041178
5;0.611143930482014
5;0.622546473112178
5;0.6076772736223726
5;0.613913638563644
5;0.7996501125266856
5;0.6087643934981671
5;0.7967565338690367
5;0.7811429027313453
5;0.7984602830716166
5;0.5979339499751994
5;0.5983899981818737
5;0.6146933055773187
5;0.5987956758352396
5;0.6159915998805171
5;0.7896320397552018
5;0.5983020111596878
5;0.6017160169111908
5;0.7975866902675319
5;0.6352231372583007
5;0.5975926989886047
5;0.794413579045858
5;0.614003445557923
5;0.7968062438203499
5;0.5985288330475576
5;0.5993309320533625
5;0.6003915045515413
5;0.8001280216218012
5;0.8008363109028773
5;0.602320343090012
5;0.801413752194643
6;0.09067411578001351
6;0.08836297682383341
6;0.0881529953179883
6;0.08843836890995643
6;0.08826712429111114
6;0.08845501722090708
6;0.09311285890402701
6;0.08927368637591211
6;0.09020656454133075
6;0.08832462293113152
6;0.09244395652946902
6;0.08838854003123259
6;0.08489662324175165
6;0.09014690120825208
6;0.09908988618238587
6;0.0960958377425465
6;0.09365681609908913
6;0.0883561220073373
6;0.0878498007766468
6;0.088447165925951
6;0.09054355748913163
6;0.0887891368227281
6;0.0933760289146984
6;0.10048884352711836
6;0.0885051840861302
6;0.08978186842157317
6;0.09420097237126385
6;0.08998593761810657
6;0.1015606662083743
6;0.08819292170300991
7;0.3622417663895871
7;0.36941546004445264
7;0.3430892019691447
7;0.3703247264220448
7;0.3468934517129291
7;0.37774512839794444
7;0.37700748193060774
7;0.37617522452686375
7;0.36180228158056055
7;0.35620282431837796
7;0.3617998308686976
7;0.3471555771426876
7;0.38215838651957906
7;0.3547296382220044
7;0.3472392153184565
7;0.356531526878962
7;0.3431778041877053
7;0.361801232486977
7;0.3543600950059427
7;0.3659778248538918
7;0.36234509395494535
7;0.3579594916888676
7;0.3621054041530638
7;0.37468586823532557
7;0.37693353607984065
7;0.3428671663109962
7;0.3503604693199179
7;0.3617857513236899
7;0.34559945026212285
7;0.3616496038025192
8;0.3971934020850024
8;0.3934179740625425
8;0.3928078595685136
8;0.3933043375503067
8;0.3933093008237129
8;0.39351654742773856
8;0.39359138831179846
8;0.3936941873740461
8;0.3932580839763713
8;0.39427297676914724
8;0.39311378006202286
8;0.39708434052073804
8;0.3990932768104444
8;0.39772884371338196
8;0.39233432203982926
8;0.396916924245711
8;0.39801223764587845
8;0.39327720005202754
8;0.39512676770069416
8;0.3930681732161998
8;0.3931195430056308
8;0.3933324199835922
8;0.39787980707113296
8;0.39710682608711234
8;0.39297319777523726
8;0.3971338087667615
8;0.39021865044479004
8;0.39338966175180445
8;0.3963771640551436
8;0.39326336527810096
9;0.3580970203769409
9;0.36486197725409936
9;0.337225931113082
9;0.359753796292121
9;0.35745481171806104
9;0.3550802470344006
9;0.3573408430257193
9;0.3509871516405968
9;0.3539624011794624
9;0.356002579749685
9;0.359753796292121
9;0.35826976793776066
9;0.35901298327157644
9;0.36123711837451195
9;0.3448472379341129
9;0.36472496022602885
9;0.3577142862110695
9;0.3570617895555425
9;0.35504367508784307
9;0.3574594817916946
9;0.3726794185264191
9;0.35954711285174723
9;0.3574905128491413
9;0.3605906767165742
9;0.3543813529295627
9;0.357998545078018
9;0.36267782272391624
9;0.3566238626611453
9;0.35890328157110973
9;0.3590626106296472
10;0.45949079544139526
10;0.469488608835549
10;0.470908563935495
10;0.47181617395284026
10;0.4696854600522092
10;0.3751471016310559
10;0.42567489455508295
10;0.4697590924239242
10;0.47181617395284026
10;0.4706047138313805
10;0.4644380222087176
10;0.4479179182231536
10;0.4696854600522092
10;0.46895583210255115
10;0.46879699360750837
10;0.4093947636684544
10;0.4714752564863154
10;0.47143172754727974
10;0.46469889384203406
10;0.4693065434068481
10;0.41667758994890686
10;0.4702280089660806
10;0.47096268359998383
10;0.43970397090533386
10;0.46994494721511654
10;0.45212013326387546
10;0.47181617395284026
10;0.44443684854981846
10;0.4713136553001454
10;0.4714164924186171
11;0.5014698518974865
11;0.49835988487480165
11;0.4983227002805805
11;0.4980856495461667
11;0.49804400509689656
11;0.49975179421280125
11;0.499593714748403
11;0.49854569430787143
11;0.4967763559789982
11;0.5029726932055116
11;0.4983064320206087
11;0.502323445049414
11;0.5052779199435853
11;0.4987907235787077
11;0.4995921778360141
11;0.505257060723103
11;0.49871110902751553
11;0.4995803649456776
11;0.4983028540895964
11;0.47335228165948456
11;0.4981039875718118
11;0.5014536902577136
11;0.5006101385960704
11;0.4851766012194045
11;0.5046539187631501
11;0.5000684620800805
11;0.5053269704006691
11;0.5027207250194244
11;0.4999890491456058
11;0.5048489069272183
12;0.6360804809396332
12;0.6359237897660882
12;0.6356762510752162
12;0.6323789061173992
12;0.6347693067932021
12;0.6349344920551345
12;0.6327506530140288
12;0.6357369526533448
12;0.634900514169955
12;0.6325009326556347
12;0.633124266587977
12;0.6308949278082332
12;0.6326223029944199
12;0.6325981389219025
12;0.6312541615403113
12;0.6352061110057247
12;0.636359285934794
12;0.6360224442937211
12;0.6100964481408409
12;0.6360310028393035
12;0.6328533202226704
12;0.6318580975734669
12;0.6363161850327459
12;0.6220139274834998
12;0.6325989313595628
12;0.6340861464815433
12;0.6354670687146713
12;0.6326862820918684
12;0.6328147168949588
12;0.6213454846589188
